Asset_1,Asset_2,Correlation,Abs_Correlation
GARAN,ASELS,0.3990787797374946,0.3990787797374946
ISCTR,TUPRS,0.3970356832380173,0.3970356832380173
AKBNK,TUPRS,0.39497820029578123,0.39497820029578123
Gold,Dollar_Index,-0.39213058243291343,0.39213058243291343
TUPRS,ASELS,0.38021217541710894,0.38021217541710894
Silver,Copper,0.3713216545705431,0.3713216545705431
GARAN,TUPRS,0.3674796553037508,0.3674796553037508
Silver,Dollar_Index,-0.35396248366803124,0.35396248366803124
Platinum,Dollar_Index,-0.35302779029634224,0.35302779029634224
BIST_Banks,BIMAS,0.34730508427808215,0.34730508427808215
FTSE100,BIST100,0.3440730810187086,0.3440730810187086
AKBNK,BIMAS,0.3433668758946079,0.3433668758946079
FTSE100,BIST30,0.3395832075822679,0.3395832075822679
FTSE100,Nikkei225,0.3392180467296904,0.3392180467296904
DAX,BIST100,0.33011707504718346,0.33011707504718346
FTSE100,BIST_Industrials,0.3287296357091612,0.3287296357091612
DAX,BIST30,0.3256281248177845,0.3256281248177845
DAX,Nikkei225,0.32552924700762925,0.32552924700762925
Dow_Jones,US_10Y_Bond,0.32445041607843433,0.32445041607843433
ISCTR,BIMAS,0.32261020469900775,0.32261020469900775
GARAN,BIMAS,0.31197228322023707,0.31197228322023707
TUPRS,BIMAS,0.31001983677900546,0.31001983677900546
DAX,BIST_Industrials,0.3084603953207051,0.3084603953207051
Copper,FTSE100,0.30705929918698777,0.30705929918698777
FTSE100,US_10Y_Bond,0.30533588593962785,0.30533588593962785
FTSE100,KCHOL,0.3024898146699856,0.3024898146699856
Dow_Jones,MOEX_Russia,0.299007770912685,0.299007770912685
FTSE100,SAHOL,0.29570909397449774,0.29570909397449774
Brent_Oil,FTSE100,0.2953426308909637,0.2953426308909637
FTSE100,BIST_Banks,0.29161834591149643,0.29161834591149643
DAX,KCHOL,0.2913367451689945,0.2913367451689945
THYAO,BIMAS,0.2875101801069695,0.2875101801069695
SP500,US_10Y_Bond,0.2868056672160906,0.2868056672160906
SP500,MOEX_Russia,0.28333272658694664,0.28333272658694664
DAX,SAHOL,0.281400506928293,0.281400506928293
DAX,BIST_Banks,0.27824947128892,0.27824947128892
FTSE100,AKBNK,0.2765108945466538,0.2765108945466538
Copper,Dollar_Index,-0.2738203025919636,0.2738203025919636
Brent_Oil,Dow_Jones,0.2736222779920032,0.2736222779920032
Copper,Brent_Oil,0.2723434750101675,0.2723434750101675
