,Gold,Silver,Platinum,Copper,Brent_Oil,WTI_Oil,Natural_Gas,SP500,NASDAQ,Dow_Jones,DAX,FTSE100,Nikkei225,BIST100,BIST30,BIST_Banks,BIST_Industrials,THYAO,GARAN,AKBNK,ISCTR,KCHOL,SAHOL,TUPRS,ASELS,BIMAS,USD_TRY,EUR_TRY,Bitcoin,VIX,US_10Y_Bond,Dollar_Index,CSI300,MOEX_Russia,GBP_TRY,SAR_TRY,RUB_TRY
ISCTR,0.029665637184326847,0.0710643841224627,0.1150007298513431,0.10607932872648596,0.060878379713489215,0.02362415889320821,0.02542066030625974,0.17749449840753095,0.14242758797827193,0.18661126881289142,0.25137284427925377,0.26027474816786655,0.10103607000852956,0.7537665642031937,0.7665358345130452,0.9027828685572513,0.576982195894,0.48132005245641724,0.7947277326032673,0.8216633268325425,1.0,0.6110161914188584,0.6659688747516488,0.3970356832380173,0.41803768657728824,0.32261020469900775,-0.07299029245951111,-0.06333163608689588,0.05177238541833199,-0.14659515857433408,0.10016122376133803,-0.044432834609854144,0.052115292052082034,0.146751697992338,-0.0599626913300255,-0.06590807298689175,0.0023002576924187816
KCHOL,0.018096680317703926,0.08009904335655421,0.1168599178084682,0.10441402490602121,0.07907018819080458,0.03656648537227735,0.042762829444459256,0.20498292302399904,0.16332802579981665,0.22097391557674406,0.2913367451689945,0.3024898146699856,0.12461974183473208,0.759157287267838,0.7706799348384784,0.6488906142351919,0.6690824459752711,0.5231190066085954,0.5797819296983634,0.6201444757974081,0.6110161914188584,1.0,0.7108958134685368,0.5368721245593366,0.4338879864660915,0.40540460923229793,0.014544861249774766,0.012809037522282551,0.07964474686460088,-0.16260406276783534,0.10039877477705637,-0.06744360960328243,0.003449576914667166,0.20944393021711222,0.012505075918649486,0.015262519302374862,0.0032750058865328624
SAHOL,0.03843343543103338,0.09866933298434517,0.14691963469995772,0.11303852567387856,0.08544899854665472,0.04248744538111798,0.052248992243407504,0.2148380487693718,0.17861046829757543,0.228801919311163,0.281400506928293,0.29570909397449774,0.11541202995721174,0.7881346876211202,0.7999281771886505,0.728734360057466,0.6496737554656,0.5347123865419451,0.658397419828477,0.7122205896929139,0.6659688747516488,0.7108958134685368,1.0,0.484092228427373,0.43960769167581976,0.4033301757571749,-0.029006617618867064,-0.012802640460017363,0.04084693623813027,-0.1580442126401076,0.09828602219094722,-0.04938237128834108,-0.01685777228184984,0.19947138528973643,-0.016287595498463498,-0.026402687134985264,0.0033356493322045325
TUPRS,0.025161917623174344,0.09362374719374271,0.09732185627853192,0.11098586912635096,0.13292215917531405,0.058718458429482756,0.040578789870270505,0.14972646508138546,0.11518459096230882,0.16180766310592007,0.20901810616267424,0.2345230373988322,0.10365373009254762,0.6211212255779701,0.6331254578240797,0.41657779847560056,0.6720894762759133,0.449707599321665,0.3674796553037508,0.39497820029578123,0.3970356832380173,0.5368721245593366,0.484092228427373,1.0,0.38021217541710894,0.31001983677900546,0.06128313730939608,0.05248913886240756,0.03470338124477472,-0.1304700871035787,0.05169425482576226,-0.03828719144060418,-0.0013439128077848176,0.20057622704469014,0.04947722153962731,0.06001619516104907,0.0340959528274927
ASELS,0.02770085702594257,0.09827338433760048,0.10852914767072469,0.11078684778304332,0.04789164114201873,0.013132140351962718,0.03859525291672968,0.13014017506472103,0.10424642931620079,0.14335275449961019,0.16254992525258521,0.1760535363839645,0.08309911208449537,0.608338551901247,0.5975029097710066,0.4530903079968019,0.5771478992537087,0.48134393008428883,0.3990787797374946,0.41439950363605016,0.41803768657728824,0.4338879864660915,0.43960769167581976,0.38021217541710894,1.0,0.2606071281824756,0.03795050579263673,0.0322017570469566,0.02457022113303938,-0.10714019640984582,0.06077406363717538,-0.013062030703219164,0.039337024931929115,0.10686424143138744,0.045049237812944135,0.03822085325200791,0.006581137159289849
BIMAS,0.03130840098852709,0.07530335329917807,0.074036563636698,0.04604573443032661,0.041397495873836086,0.004667161648550773,0.04394006280861937,0.12050661295754422,0.11527355077600576,0.11800814315013175,0.13260218393579265,0.12313835624807716,0.044047756688769014,0.5089469343663187,0.5207028752330004,0.34730508427808215,0.4288974237124327,0.2875101801069695,0.31197228322023707,0.3433668758946079,0.32261020469900775,0.40540460923229793,0.4033301757571749,0.31001983677900546,0.2606071281824756,1.0,-0.02616166365741223,-0.032499733208143616,0.038402182822540286,-0.1149828756951,0.06194075218074918,-0.016344014969454115,-0.014647680657999306,0.08638157352223809,-0.036502464318747985,-0.027324267619805474,-0.006935369701666571
USD_TRY,-0.030955159435312223,-0.04497410582631742,-0.06628131445884568,-0.03300802648912366,-0.008014739354897568,-0.00021121362001463815,0.0017645929792004314,-0.02928816923492556,-0.018757919031982484,-0.03902390348332599,-0.04418848953072632,-0.05168654243626241,-0.1111728100471724,0.0028338429284862233,0.005227807719132294,-0.06290678247495386,0.032639058523644925,0.04408702990467783,-0.06592716194516557,-0.06958883596715261,-0.07299029245951111,0.014544861249774766,-0.029006617618867064,0.06128313730939608,0.03795050579263673,-0.02616166365741223,1.0,0.8994746954337696,-0.044942898358343863,0.031167476907156044,-0.0006093263975613021,0.0374867861505235,-0.013000918899838463,-0.010055813941334013,0.8766435721720901,0.9502394429460004,0.014538533564629787
EUR_TRY,-0.007325926746968207,-0.029854902969519072,-0.04597175767056105,-0.009202842502984305,-0.018064669967639523,-0.005600409983636888,0.012897327433752227,-0.019838898257610253,-0.00945159701301179,-0.02853103613346757,-0.051620542266238516,-0.05714698207696605,-0.10759512883286697,0.010210997277130703,0.013909789279533284,-0.045613720297663085,0.031325236937584974,0.04032787729279125,-0.048663286965128456,-0.05158231764811208,-0.06333163608689588,0.012809037522282551,-0.012802640460017363,0.05248913886240756,0.0322017570469566,-0.032499733208143616,0.8994746954337696,1.0,-0.040666101170898535,0.033275784012541255,-0.0015078530253228408,0.01554395949775718,0.025501932910307414,-0.009637283268216184,0.9108049297277102,0.8637251450307168,-0.00013862115073483034
Bitcoin,0.08134182324109544,0.10870651470434456,0.11591217284774011,0.10320248559196342,0.0487154405600635,0.03235325189218988,0.0033313003087169293,0.2145828468567697,0.23380002773193706,0.19347720299680315,0.13976884340159673,0.12257185758216858,0.0018278861777789475,0.07056871622650962,0.06449466739153233,0.04847490269266688,0.08161642631391486,0.03158257424391593,0.028108282553276225,0.05069330480873835,0.05177238541833199,0.07964474686460088,0.04084693623813027,0.03470338124477472,0.02457022113303938,0.038402182822540286,-0.044942898358343863,-0.040666101170898535,1.0,-0.17207896471128414,0.026167310078374702,-0.08245022218189109,0.018303456345191416,0.11118639995213636,-0.05445746838434914,-0.044660755581614975,-0.002957850260945415
VIX,0.05174655560163285,-0.07060778226937235,-0.16697366870714897,-0.2001276755921303,-0.20268818464087085,-0.10255840070109633,-0.04118466762963109,-0.716975483362134,-0.6984199400441878,-0.6754387481659362,-0.44680694671891913,-0.40704308147296603,-0.17685741025378993,-0.2104567784292295,-0.2010935307299307,-0.1644932080682362,-0.20699150116383144,-0.15206105347278354,-0.1433110975946857,-0.14481066976376158,-0.14659515857433408,-0.16260406276783534,-0.1580442126401076,-0.1304700871035787,-0.10714019640984582,-0.1149828756951,0.031167476907156044,0.033275784012541255,-0.17207896471128414,1.0,-0.19434823234712162,0.018537244859692964,-0.06595168743079256,-0.21916746788892558,0.023335439562295078,0.02292948749416181,0.009313113092014717
